doc_id,source_org,title,url,theme,license,access_date,char_len,content_sha256_12,included_sections,exclusions,notes
ncsc_password_admin_guidance,NCSC,Password administration for system owners,https://www.ncsc.gov.uk/collection/passwords,cyber security,Open Government Licence v3.0,2026-05-05,2178,be9e750fca65,Main article body,"Navigation, footer, related-content widgets",NCSC terms permit reuse with attribution and OGL link.
ncsc_byod_guidance,NCSC,Bring your own device (BYOD) guidance,https://www.ncsc.gov.uk/collection/device-security-guidance/bring-your-own-device,cyber security,Open Government Licence v3.0,2026-05-05,5446,7130bb2c0312,Main article body,"Navigation, footer, related-content widgets",Aligned with synthetic corpus IT Security Addendum.
ico_data_protection_principles,ICO,Data protection principles,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/data-protection-principles/,data protection,Open Government Licence v3.0,2026-05-05,1459,ad8f092aa2dd,Main article body,"Navigation, footer, in-page widgets",ICO website content is OGL v3.0 unless otherwise stated.
ico_lawful_basis,ICO,Lawful basis for processing (UK GDPR),https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/lawful-basis/,data protection,Open Government Licence v3.0,2026-05-05,2575,f1f600d31c42,Main article body,"Navigation, footer, in-page widgets","Closest analogue to handbook ""data handling lawfulness"" guidance."
ico_individual_rights_overview,ICO,Individual rights (UK GDPR),https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/individual-rights/,data protection,Open Government Licence v3.0,2026-05-05,1836,ac93ad9fe16b,Main article body,"Navigation, footer, in-page widgets","Closest analogue to handbook ""data subject rights"" guidance."
acas_disciplinary_procedure,ACAS,Disciplinary procedure: step by step,https://www.acas.org.uk/disciplinary-procedure-step-by-step,employment,Open Government Licence v3.0,2026-05-05,3364,d096091ceee3,Main article body,"Navigation, footer, related-pages widget",Crown copyright per ACAS website terms.
acas_holiday_pay,ACAS,Holiday entitlement and pay,https://www.acas.org.uk/checking-holiday-entitlement,employment,Open Government Licence v3.0,2026-05-05,4355,f38f0d3bdbd4,Main article body,"Navigation, footer, related-pages widget",Aligned with synthetic Employee Handbook leave policy.
acas_remote_hybrid_working,ACAS,Flexible-working guidance including home/hybrid material,https://www.acas.org.uk/working-from-home-and-hybrid-working,employment,Open Government Licence v3.0,2026-05-05,1424,c19382adafd2,Main article body,"Navigation, footer, related-pages widget","The recorded target URL resolved at retrieval time to broader Acas flexible-working content (page title 'Flexible working | Acas'); cached raw text and SHA-256 preserve the exact text used in the §4.11 stress test."
