run,evidence_precision_at_5,evidence_recall_at_5,evidence_mrr,citation_precision,citation_recall,abstention_accuracy,false_abstention_rate,contradiction_recall,contradiction_precision,ungrounded_rate,support_rate_mean,answer_rate,clean_query_pct,dominant_failure_mode
b1_generative_final,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,,,1.0000,0.0000,missed_retrieval
b2_generative_bm25_fallback_final,0.2913,0.7391,0.7670,1.0000,0.4333,0.7647,0.1667,0.0000,N/A,,,0.8333,0.2063,missed_retrieval
b3_generative_bm25_fallback_final,0.2913,0.7391,0.7670,1.0000,0.5556,0.9412,0.7500,0.2000,0.3333,0.0000,1.0000,0.2500,0.2857,missed_retrieval
