run_name,label,baseline_input,baseline,total_queries,answer_rate,abstention_accuracy,evidence_recall_at_5,evidence_precision_at_5,evidence_mrr,citation_precision,citation_recall,ungrounded_rate,support_rate_mean,contradiction_recall,contradiction_precision
b1_generative_v2,B1 (replay),b1,b1,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,N/A
b2_generative_v2,B2-Gen (replay),b2,b2,63,0.825,0.9231,0.73,0.292,0.7557,1.0,0.4621,,,0.0,N/A
b2_extractive_hybrid_v2_final,B2-Ext (hybrid),b2,b2,63,1.0,0.0,0.74,0.292,0.8327,1.0,0.3896,,,0.0,N/A
b3_generative_v2,B3-Gen (replay),b3,b3,63,0.25,1.0,0.73,0.292,0.7557,1.0,0.6,0.0,1.0,0.2,0.3333
b3_extractive_hybrid_v2_final,B3-Ext (hybrid),b3,b3,63,0.925,0.7692,0.78,0.308,0.8657,1.0,0.5225,0.0,1.0,0.4,0.1905
b3_extractive_hybrid_v2_contra_upgraded,B3-Ext + new contra,b3,b3,63,0.925,0.7692,0.78,0.308,0.8657,1.0,0.5631,0.0,1.0,0.5,0.1852
b4_conservative_hybrid_replay_v2_final,B4 Conservative Hybrid,b4,b4,63,0.5,1.0,0.73,0.292,0.7557,1.0,0.5625,0.0,1.0,0.2,0.3333
